offset,entry_multiplier,exit_multiplier,amount,entry_timeout,exit_timeout,prevent_entries,prevent_exits,buys_allowed,sells_allowed,rsiOS,rsiOB,rsiPeriod,trailing_entry,stop_loss,trailing_tp,delay_profit,delay_stop,active_above,active_below,entry_id
822,1,1.3,80,15,9999,FALSE,FALSE,TRUE,FALSE,57,71,14,0,0,0,0,0,0,0,dip2.11
975,1,2,60,10,9999,FALSE,FALSE,TRUE,FALSE,57,71,14,0,0,0,0,0,0,0,dip2.12
1105,1,1.3,80,15,9999,FALSE,FALSE,TRUE,FALSE,57,71,14,0,0,0,0,0,0,0,dip2.13
5,1,25,5,0.01,9999,FALSE,FALSE,TRUE,FALSE,24,68,14,0,0,0,0,0,0,0,dip2.9.1
10,1,5,5,0.1,9999,FALSE,FALSE,TRUE,FALSE,24,68,14,0,0,0,0,0,0,0,dip2.9.2
15,1,5,10,0.2,9999,FALSE,FALSE,TRUE,FALSE,24,64,14,0,0,0,0,0,0,0,dip2.9.3
45,1,3,10,1,9999,FALSE,FALSE,TRUE,FALSE,24,64,14,0,0,0,0,0,0,0,dip2.9.4
75,1,0.5,12,0.4,9999,FALSE,FALSE,TRUE,FALSE,24,64,14,0,0,0,0,0,0,0,dip2.9.5
115,1,2,15,0.4,9999,FALSE,FALSE,TRUE,FALSE,17,68,9,0,0,0,0,0,0,0,dip2.9.6
470,1,1.4,20,999,9999,FALSE,FALSE,TRUE,FALSE,17,68,9,0,0,0,0,0,0,0,dip2.9.7
675,1,0.6,25,999,9999,FALSE,FALSE,TRUE,FALSE,17,68,9,0,0,0,0,0,0,0,dip2.9.8
115,1,4,15,999,9999,FALSE,FALSE,TRUE,FALSE,17,68,9,0,0,0,0,0,0,0,dip1.1
215,1,3,25,999,9999,FALSE,FALSE,TRUE,FALSE,17,68,9,0,0,0,0,0,0,0,dip1.2
470,1,2,50,999,9999,FALSE,FALSE,TRUE,FALSE,17,68,9,0,0,0,0,0,0,0,dip1.3
675,1,2,50,999,9999,FALSE,FALSE,TRUE,FALSE,17,68,9,0,0,0,0,0,0,0,dip1.4
475,1,10,10,999,9999,FALSE,TRUE,TRUE,FALSE,17,55,43,0,0,0,0,0,0,0,dip1.5
550,1,0.1,10,999,9999,FALSE,TRUE,TRUE,FALSE,22,55,43,0,0,0,0,0,0,0,dip1.6
750,1,0.1,10,999,9999,FALSE,TRUE,TRUE,FALSE,25,55,43,0,0,0,0,0,0,0,dip1.7
1250,1,1,50,999,9999,FALSE,TRUE,TRUE,FALSE,36,55,43,0,0,0,0,0,0,0,dip1.8
1650,1,0.1,50,999,9999,FALSE,TRUE,TRUE,FALSE,36,55,43,58,0,0,0,0,0,0,dip1.9
2105,1,0.1,150,999,9999,FALSE,TRUE,TRUE,FALSE,36,55,43,78,0,0,0,0,0,0,dip1.10
3250,1,0.1,250,999,9999,FALSE,TRUE,TRUE,FALSE,36,55,43,88,0,0,0,0,0,0,dip1.11
215,1,3,25,50,9999,FALSE,FALSE,TRUE,FALSE,17,68,9,0,0,0,0,0,0,0,dip3.10.1
470,1,2,50,50,9999,FALSE,FALSE,TRUE,FALSE,17,68,9,0,0,0,0,0,0,0,dip3.10.2
675,1,2,50,50,9999,FALSE,FALSE,TRUE,FALSE,17,68,9,0,0,0,0,0,0,0,dip3.10.3
475,1,10,10,999,9999,FALSE,TRUE,TRUE,FALSE,17,55,43,0,0,0,0,0,0,0,dip3.10.4
550,1,0.1,10,999,9999,FALSE,TRUE,TRUE,FALSE,22,55,43,0,0,0,0,0,0,0,dip3.10.5
750,1,0.1,10,999,9999,FALSE,TRUE,TRUE,FALSE,25,55,43,0,0,0,0,0,0,0,dip3.10.6
1250,1,1,50,999,9999,FALSE,TRUE,TRUE,FALSE,36,55,43,0,0,0,0,0,0,0,dip3.10.7
1650,1,0.1,50,999,9999,FALSE,TRUE,TRUE,FALSE,36,55,43,58,0,0,0,0,0,0,dip3.10.8
2105,1,0.1,150,999,9999,FALSE,TRUE,TRUE,FALSE,36,55,43,78,0,0,0,0,0,0,dip3.10.9
3250,1,0.1,250,999,9999,FALSE,TRUE,TRUE,FALSE,36,55,43,88,0,0,0,0,0,0,dip3.10.10
215,1,3,25,50,9999,FALSE,FALSE,TRUE,FALSE,17,68,9,0,0,0,0,0,0,0,dip1.4.1
470,1,2,50,50,9999,FALSE,FALSE,TRUE,FALSE,17,68,9,0,0,0,0,0,0,0,dip1.4.2
675,1,2,50,50,9999,FALSE,FALSE,TRUE,FALSE,17,68,9,0,0,0,0,0,0,0,dip1.4.3
475,1,10,10,999,9999,FALSE,TRUE,TRUE,FALSE,17,55,43,0,0,0,0,0,0,0,dip1.4.4
550,1,0.1,10,999,9999,FALSE,TRUE,TRUE,FALSE,22,55,43,0,0,0,0,0,0,0,dip1.4.5
750,1,0.1,10,999,9999,FALSE,TRUE,TRUE,FALSE,25,55,43,0,0,0,0,0,0,0,dip1.4.6
1250,1,1,50,999,9999,FALSE,TRUE,TRUE,FALSE,36,55,43,0,0,0,0,0,0,0,dip1.4.7
1650,1,0.1,50,999,9999,FALSE,TRUE,TRUE,FALSE,36,55,43,58,0,0,0,0,0,0,dip1.4.8
2105,1,0.1,150,999,9999,FALSE,TRUE,TRUE,FALSE,36,55,43,78,0,0,0,0,0,0,dip1.4.9
3250,1,0.1,250,999,9999,FALSE,TRUE,TRUE,FALSE,36,55,43,88,0,0,0,0,0,0,dip1.4.10
